song	artist	hip_hop_rnb	genre
Fancy	Drake	1	Hip Hop / RnB
Fancy	Iggy Azalea	1	Hip Hop / RnB
Fantasy	Mariah Carey	1	Hip Hop / RnB
Feels Good	Tony! Toni! Toné!	1	Hip Hop / RnB
Feels Good (Don't Worry Bout a Thing)	Naughty by Nature featuring 3LW	1	Hip Hop / RnB
Fiesta	R. Kelly featuring Jay-Z	1	Hip Hop / RnB
Fight the Power	Public Enemy	1	Hip Hop / RnB
Fishnet	Morris Day	1	Hip Hop / RnB
Flamboyant	Big L	1	Hip Hop / RnB
Foolish	Ashanti	1	Hip Hop / RnB
Forever	Drake featuring Kanye West, Lil Wayne and Eminem	1	Hip Hop / RnB
Forever My Lady	Jodeci	1	Hip Hop / RnB
Fortunate	Maxwell	1	Hip Hop / RnB
FourFiveSeconds	Rihanna featuring Kanye West & Paul McCartney	1	Hip Hop / RnB
Freak Me	Silk	1	Hip Hop / RnB
Friend of Mine	Kelly Price	1	Hip Hop / RnB
Frontin'	Pharrell featuring Jay-Z	1	Hip Hop / RnB
Fuckin' Problems	ASAP Rocky featuring Drake, 2 Chainz & Kendrick Lamar	1	Hip Hop / RnB
Funhouse	Kid 'n Play	1	Hip Hop / RnB
G.H.E.T.T.O.U.T.	Changing Faces	1	Hip Hop / RnB
Games	Chuckii Booker	1	Hip Hop / RnB
Gangnam Style	Psy	1	Hip Hop / RnB
Gangsta Lean	DRS	1	Hip Hop / RnB
Get Busy	Sean Paul	1	Hip Hop / RnB
Get It on Tonite	Montell Jordan	1	Hip Hop / RnB
Get Low	Lil Jon & the East Side Boyz featuring Ying Yang Twins	1	Hip Hop / RnB
Get Outta My Dreams, Get into My Car	Billy Ocean	1	Hip Hop / RnB
Girl I Got My Eyes On You	Today	1	Hip Hop / RnB
Girlfriend	Pebbles	1	Hip Hop / RnB
Giving Him Something He Can Feel	En Vogue	1	Hip Hop / RnB
Giving You the Benefit	Pebbles	1	Hip Hop / RnB
Giving You the Best That I Got	Anita Baker	1	Hip Hop / RnB
God's Plan	Drake	1	Hip Hop / RnB
Gold Digger	EPMD	1	Hip Hop / RnB
Gold Digger	Kanye West featuring Jamie Foxx	1	Hip Hop / RnB
Gonna Make You Sweat (Everybody Dance Now)	C&C Music Factory featuring Freedom Williams	1	Hip Hop / RnB
Good Kisser	Usher	1	Hip Hop / RnB
Good Life	Kanye West featuring T-Pain	1	Hip Hop / RnB
Goodies	Ciara featuring Petey Pablo	1	Hip Hop / RnB
Grillz	Nelly featuring Paul Wall, Ali and Gipp	1	Hip Hop / RnB
Happy	Pharrell Williams	1	Hip Hop / RnB
Hate It or Love It	The Game featuring 50 Cent	1	Hip Hop / RnB
Have You Had Your Love Today	The O'Jays	1	Hip Hop / RnB
He Wasn't Man Enough	Toni Braxton	1	Hip Hop / RnB
Headlines	Drake	1	Hip Hop / RnB
Heartbreak Hotel	Whitney Houston featuring Faith Evans and Kelly Price	1	Hip Hop / RnB
Heartbreaker	Mariah Carey featuring Jay-Z	1	Hip Hop / RnB
Heartless	Kanye West	1	Hip Hop / RnB
Heaven Sent	Keyshia Cole	1	Hip Hop / RnB
Here and Now	Luther Vandross	1	Hip Hop / RnB
Here I Go Again	Glenn Jones	1	Hip Hop / RnB
Hey Lover	Freddie Jackson	1	Hip Hop / RnB
Highest in the Room	Travis Scott	1	Hip Hop / RnB
